所得税,,,,,,,,,住民税,,,,,,,,,,,,,,,,,
課税される所得金額,,,,,,,,,,,指定都市,,指定都市以外,,,,,,,,,,,,,
0,~,"1,949,000",5%,0,,,,,,,市,県,市,県,,課税所得総所得金額－人的控除差調整額,,,所得税率,復興考慮,,,申告特例控除額,,,
"1,950,000",~,"3,299,000",10%,"97,500",,,,,税率,,8%,2%,6%,4%,,0,~,"1,950,000",5%,5.105%,84.895%,,0,~,"1,950,000",0.060133106
"3,300,000",~,"6,949,000",20%,"427,500",,,,,短期,一般,7.2%,1.8%,5.4%,3.6%,,"1,951,000",~,"3,300,000",10%,10.210%,79.790%,,"1,951,000",~,"3,300,000",0.127960897
"6,950,000",~,"8,999,000",23%,"636,000",,,,,,軽減,4%,1%,3%,2%,,"3,301,000",~,"6,950,000",20%,20.420%,69.580%,,"3,301,000",~,"6,950,000",0.005102449
"9,000,000",~,"17,999,000",33%,"1,536,000",,,,,長期,一般,4%,1%,3%,2%,,"6,951,000",~,"9,000,000",23%,23.483%,66.517%,,"6,951,000",~,"9,000,000",0.353037569
"18,000,000",~,"39,999,000",40%,"2,796,000",,,,,,特定　2000万円以下,3.2%,0.8%,2.4%,1.6%,,"9,001,000",~,"18,000,000",33%,33.693%,56.307%,,"9,001,000",~,,0.598380308
"40,000,000",~,,45%,"4,796,000",,,,,,特定　2000万円超,4%,1%,3%,2%,,"18,001,000",~,"40,000,000",40%,40.840%,49.160%,,,,,
,,,,,,,,,,軽課　6000万円以下,3.2%,0.8%,2.4%,1.6%,,"40,001,000",~,,45%,45.945%,44.055%,,,,,
,,,,,,,,,,軽課　6000万円超,4%,1%,3%,2%,,C-2課税総所得金額ー人的控除差調整額がゼロ未満かつ山林がゼロかつ退職がゼロ,,,0%,0.000%,90.000%,,,,,
,,,,,,,,,一般株式等の譲渡,,4%,1%,3%,2%,,C-3課税総所得金額ー人的控除差調整額がゼロ未満かつ山林または退職がある,,,,,,,,,,
,,,,,,,,,上場株式等の譲渡,,4%,1%,3%,2%,,C-4分離課税の所得がある,,,,,,,,,,
,,,,,,,,,上場株式等の配当等,,4%,1%,3%,2%,,,,短期譲渡所得,30%,30.630%,59.370%,,,,,
,,,,,,,,,先物取引,,4%,1%,3%,2%,,,,長期譲渡所得,15%,15.315%,74.685%,,,,,
,,,,,,,,,山林,,8%,2%,6%,4%,,,,上場配当所得,15%,15.315%,74.685%,,,,,
,,,,,,,,,退職,,8%,2%,6%,4%,,,,株式譲渡所得,15%,15.315%,74.685%,,,,,
,,,,,,,,,調整控除,,4%,1%,3%,2%,,,,先物取引,15%,15.315%,74.685%,,,,,
,,,,,,,,,基本控除,,8%,2%,6%,4%,,,,,,,,,,,,
,,,,,,,,,特例控除,,0.8,0.2,0.6,0.4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
